rank	name	pop_1970	pop_1980	pop_1990	pop_2000	pop_2010	pop_2019	state	lat	long
1	Berlin	3208719	3048759	3433695	3382169	3460725	3669491	Berlin	52.518611	13.408333
2	Hamburg	1793640	1645095	1652363	1715392	1786448	1847253	Hamburg	53.550556	9.993333
3	München	1311978	1298941	1229026	1210223	1353186	1488202	Bayern	48.137222	11.575556
4	Köln	849451	976694	953551	962884	1007119	1087863	Nordrhein-Westfalen	50.938056	6.956944
5	FrankfurtamMain	666179	629375	644865	646550	679664	763380	Hessen	50.110556	8.682222
6	Stuttgart	634202	580648	579988	583874	606588	635911	Baden-Württemberg	48.775556	9.182778
7	Düsseldorf	660963	590479	575794	569364	588735	621877	Nordrhein-Westfalen	51.225556	6.782778
8	Leipzig	583885	562480	511079	493208	522883	593145	Sachsen	51.340333	12.37475
9	Dortmund	640642	608297	599055	588994	580444	588250	Nordrhein-Westfalen	51.514167	7.463889
10	Essen	696419	647643	626973	595243	574635	582760	Nordrhein-Westfalen	51.458069	7.014761
11	Bremen	592533	555118	551219	539403	547340	567559	Bremen	53.075878	8.807311
12	Dresden	502432	516225	490571	477807	523058	556780	Sachsen	51.049259	13.73836
13	Hannover	521003	534623	513010	515001	522686	536925	Niedersachsen	52.374444	9.738611
14	Nürnberg	478181	484405	493692	488400	505664	515543	Bayern	49.455556	11.078611
15	Duisburg	452721	558089	535447	514915	489559	498686	Nordrhein-Westfalen	51.433438	6.766144
16	Bochum	343809	400757	396486	391147	374737	365587	Nordrhein-Westfalen	51.48012	7.21662
17	Wuppertal	417694	393381	383660	366434	349721	355100	Nordrhein-Westfalen	51.256176	7.150829
18	Bielefeld	168609	312708	319037	321758	323270	334195	Nordrhein-Westfalen	52.02182	8.53509
19	Bonn	275722	288148	292234	302247	324899	329673	Nordrhein-Westfalen	50.733992	7.099814
20	Münster	198878	269696	259438	265609	279803	315293	Nordrhein-Westfalen	51.962944	7.628694
